n,cpu,cuda,openCL
1,0.0286712646484375,0.11002254486083984,0.09856033325195312
101,1.8015391826629639,0.7271738052368164,0.3565034866333008
201,3.4262373447418213,1.441502332687378,0.7068326473236084
301,5.20943021774292,2.1559033393859863,1.0571162700653076
401,6.898006439208984,2.8786041736602783,1.4061543941497803
501,8.53030514717102,3.600324869155884,1.771193265914917
601,10.279696941375732,4.32330322265625,2.109306812286377
701,12.610509157180786,4.994853973388672,2.4467227458953857
801,13.72080373764038,5.912820339202881,2.796027183532715
901,17.223468780517578,6.474218368530273,3.1721434593200684
